date,link,price,title
Dec 29,https://newyork.craigslist.org/mnh/reb/d/new-york-no-fee-3-bed-1-bath/7046258489.html,$4950,NO FEE! 3 bed/ 1 bath apt!*Elevator*Laundry*Gym* Park like amenities!
Dec 29,https://newyork.craigslist.org/brk/reb/d/brooklyn-renovated-22-wide-4-story/7038296835.html,$3995000,Renovated 22' wide 4 story Brownstone
Dec 29,https://newyork.craigslist.org/fct/reo/d/corporate-fully-furnished-includes-all/7043333168.html,$2600,"Corporate, fully furnished, includes all utilities and internet"
Dec 29,https://newyork.craigslist.org/fct/reo/d/corporate-fully-furnished-includes-all/7043333354.html,$2600,"Corporate, fully furnished, includes all utilities and internet"
Dec 29,https://newyork.craigslist.org/fct/reo/d/fully-furnished-includes-all-utilities/7043333019.html,$2600,"fully furnished, includes all utilities and internet"
Dec 29,https://newyork.craigslist.org/que/reb/d/rego-park-brand-new-2-bdrm-sponsor-apt/7046252369.html,$400000,BRAND NEW 2 BDRM SPONSOR APT  INCLUDES UTILITIES!
Dec 29,https://newyork.craigslist.org/mnh/reb/d/new-york-no-fee-2-bed-1-bath/7046257218.html,$3600,NO FEE! 2 bed/ 1 bath apt!*Elevator*Laundry*Gym* Park like amenities!
Dec 29,https://newyork.craigslist.org/que/reb/d/rego-park-brand-new-studio-apt-for-sale/7046253946.html,$198000,Brand New Studio Apt For Sale Includes All Utilities!
Dec 29,https://newyork.craigslist.org/que/reb/d/rego-park-brand-new-2-bdrm-sponsor-apt/7046252168.html,$400000,BRAND NEW 2 BDRM SPONSOR APT  INCLUDES UTILITIES!
Dec 29,https://newyork.craigslist.org/mnh/reb/d/fort-lauderdale-florida-multi-family/7044293841.html,$25000000,FLORIDA MULTI-FAMILY PROJECTS
Dec 29,https://newyork.craigslist.org/que/reo/d/forest-hills-forest-hills-one-large/7041772919.html,$325000,"Forest Hills One Large Bedroom (820 SQFT) for Sales $325,000"
Dec 29,https://newyork.craigslist.org/que/reb/d/astoria-offer-for-sale-by-the-owner/7030802223.html,$0,OFFER FOR SALE BY THE OWNER COMMERCIAL PROPERTY ON BROADWAY ASTORIA NY
Dec 29,https://newyork.craigslist.org/que/reb/d/astoria-offer-for-sale-by-the-owner/7030713611.html,$0,OFFER FOR SALE BY THE OWNER COMMERCIAL PROPERTY ON BROADWAY ASTORIA NY
Dec 29,https://newyork.craigslist.org/wch/reo/d/stony-point-advertising-for-your/7046252857.html,$0,Advertising for your business- 48 ft billboard
Dec 29,https://newyork.craigslist.org/lgi/reo/d/centerport-waterfront-home-with-private/7046255275.html,$1450000,Waterfront Home with Private Beach
Dec 29,https://newyork.craigslist.org/lgi/reb/d/centerport-northport-waterfront-home/7046255128.html,$1450000,Northport Waterfront Home with Private Beach
Dec 29,https://newyork.craigslist.org/lgi/reb/d/centerport-waterfront-home-with-private/7046254945.html,$1450000,Waterfront Home with Private Beach
Dec 29,https://newyork.craigslist.org/que/reb/d/rego-park-huge-renovated-3-bdrm-15-bath/7046254879.html,$5550000,Huge Renovated 3 Bdrm 1.5 Bath Apt w/Terrace!
Dec 29,https://newyork.craigslist.org/brk/reo/d/essington-taylor-ave-residential-lots/7046254717.html,$42900,TAYLOR AVE RESIDENTIAL  50' X 100'- LOTS 29/30 TINICUM TOWNSH
Dec 29,https://newyork.craigslist.org/brk/reo/d/brooklyn-for-sale-townhouse-with-garages/7040229201.html,$0,FOR SALE: Townhouse with garages
Dec 29,https://newyork.craigslist.org/que/reb/d/jamaica-large-renovated-cape-house/7046254377.html,$908000,Large Renovated Cape House
Dec 29,https://newyork.craigslist.org/brk/reo/d/brooklyn-for-sale-commercial-mixed-use/7040239691.html,$0,FOR SALE: Commercial mixed use property
Dec 29,https://newyork.craigslist.org/que/reb/d/astoria-offer-for-sale-by-the-owner/7039192392.html,$0,OFFER FOR SALE BY THE OWNER COMMERCIAL PROPERTY ON BROADWAY ASTORIA NY
